ensg,symbol
ENSG00000198851,CD3E
ENSG00000171345,KRT19
ENSG00000108821,COL1A1
ENSG00000111057,KRT18
ENSG00000160678,S100A1
ENSG00000164692,COL1A2
ENSG00000170421,KRT8
ENSG00000116824,CD2
ENSG00000113140,SPARC
ENSG00000011465,DCN
ENSG00000272398,CD24
ENSG00000139329,LUM
ENSG00000122786,CALD1
ENSG00000145423,SFRP2
ENSG00000107742,SPOCK2
ENSG00000011600,TYROBP
ENSG00000077984,CST7
ENSG00000173762,CD7
ENSG00000167286,CD3D
ENSG00000152583,SPARCL1
ENSG00000168685,IL7R
ENSG00000156738,MS4A1
ENSG00000105374,NKG7
ENSG00000110848,CD69
ENSG00000158869,FCER1G
ENSG00000091986,CCDC80
ENSG00000204472,AIF1
ENSG00000204262,COL5A2
ENSG00000169908,TM4SF1
ENSG00000182492,BGN
ENSG00000105369,CD79A
ENSG00000090382,LYZ
ENSG00000130203,APOE
ENSG00000173369,C1QB
ENSG00000211459,MT-RNR1
ENSG00000159189,C1QC
ENSG00000173372,C1QA
ENSG00000154096,THY1
ENSG00000130300,PLVAP
ENSG00000198467,TPM2
ENSG00000145649,GZMA
ENSG00000109846,CRYAB
ENSG00000211592,IGKC
ENSG00000115414,FN1
ENSG00000120215,MLANA
ENSG00000170323,FABP4
ENSG00000110799,VWF
ENSG00000113088,GZMK
ENSG00000100453,GZMB
ENSG00000153563,CD8A
ENSG00000115461,IGFBP5
ENSG00000132465,JCHAIN
ENSG00000106624,AEBP1
ENSG00000038427,VCAN
ENSG00000164932,CTHRC1
ENSG00000110077,MS4A6A
ENSG00000189058,APOD
ENSG00000130635,COL5A1
ENSG00000107562,CXCL12
ENSG00000184113,CLDN5
ENSG00000100234,TIMP3
ENSG00000106819,ASPN
ENSG00000143196,DPT
ENSG00000148671,ADIRF
ENSG00000182326,C1S
ENSG00000186081,KRT5
ENSG00000106483,SFRP4
ENSG00000131477,RAMP2
ENSG00000145824,CXCL14
ENSG00000099953,MMP11
ENSG00000211677,IGLC2
ENSG00000213088,ACKR1
ENSG00000120885,CLU
ENSG00000187498,COL4A1
ENSG00000162618,ADGRL4
ENSG00000176435,CLEC14A
ENSG00000186827,TNFRSF4
ENSG00000169429,CXCL8
ENSG00000118785,SPP1
ENSG00000185633,NDUFA4L2
ENSG00000135218,CD36
ENSG00000130208,APOC1
ENSG00000107165,TYRP1
ENSG00000175899,A2M
ENSG00000254709,IGLL5
ENSG00000203747,FCGR3A
ENSG00000181847,TIGIT
ENSG00000211679,IGLC3
ENSG00000168497,CAVIN2
ENSG00000163220,S100A9
ENSG00000123500,COL10A1
ENSG00000129226,CD68
ENSG00000163631,ALB
ENSG00000167244,IGF2
ENSG00000143248,RGS5
ENSG00000125538,IL1B
ENSG00000123689,G0S2
ENSG00000017427,IGF1
ENSG00000143546,S100A8
ENSG00000108691,CCL2
ENSG00000138615,CILP
ENSG00000107317,PTGDS
ENSG00000100985,MMP9
ENSG00000105664,COMP
ENSG00000118271,TTR
ENSG00000122679,RAMP3
ENSG00000106927,AMBP
ENSG00000162444,RBP7
ENSG00000146674,IGFBP3
ENSG00000118849,RARRES1
ENSG00000228262,LINC01320
ENSG00000122862,SRGN
ENSG00000162511,LAPTM5
ENSG00000205542,TMSB4X
ENSG00000019582,CD74
ENSG00000102879,CORO1A
ENSG00000142173,COL6A2
ENSG00000196154,S100A4
ENSG00000169442,CD52
ENSG00000142156,COL6A1
ENSG00000121966,CXCR4
ENSG00000008517,IL32
ENSG00000204628,RACK1
ENSG00000163453,IGFBP7
